          table_name           | ordinal_position |       column_name       |        data_type         | is_nullable 
 forecast_121_daily_baseline   |                2 | ChannelID               | text                     | YES
 forecast_121_daily_baseline   |                3 | LocationID              | text                     | YES
 forecast_121_daily_baseline   |                4 | StartDate               | date                     | YES
 forecast_121_daily_baseline   |                5 | EndDate                 | date                     | YES
 forecast_121_daily_baseline   |                6 | Period                  | text                     | YES
 forecast_121_daily_baseline   |                7 | Qty                     | text                     | YES
 forecast_121_daily_baseline   |                8 | UOM                     | text                     | YES
 forecast_121_daily_baseline   |                9 | NetPrice                | double precision         | YES
 forecast_121_daily_baseline   |               10 | ListPrice               | double precision         | YES
 forecast_121_daily_baseline   |               11 | ForecastQty             | double precision         | YES
 forecast_121_daily_baseline   |               12 | Method                  | text                     | YES
 forecast_121_monthly          |                1 | ProductID               | text                     | YES
 forecast_121_monthly          |                2 | ChannelID               | text                     | YES
 forecast_121_monthly          |                3 | LocationID              | text                     | YES
 forecast_121_monthly          |                4 | StartDate               | date                     | YES
 forecast_121_monthly          |                5 | EndDate                 | date                     | YES
 forecast_121_monthly          |                6 | Period                  | text                     | YES
 forecast_121_monthly          |                7 | Qty                     | text                     | YES
 forecast_121_monthly          |                8 | UOM                     | text                     | YES
 forecast_121_monthly          |                9 | NetPrice                | double precision         | YES
 forecast_121_monthly          |               10 | ListPrice               | double precision         | YES
 forecast_121_monthly          |               11 | ForecastQty             | double precision         | YES
 forecast_121_monthly          |               12 | Method                  | text                     | YES
 forecast_121_monthly_baseline |                1 | ProductID               | text                     | YES
 forecast_121_monthly_baseline |                2 | ChannelID               | text                     | YES
 forecast_121_monthly_baseline |                3 | LocationID              | text                     | YES
 forecast_121_monthly_baseline |                4 | StartDate               | date                     | YES
 forecast_121_monthly_baseline |                5 | EndDate                 | date                     | YES
 forecast_121_monthly_baseline |                6 | Period                  | text                     | YES
 forecast_121_monthly_baseline |                7 | Qty                     | text                     | YES
 forecast_121_monthly_baseline |                8 | UOM                     | text                     | YES
 forecast_121_monthly_baseline |                9 | NetPrice                | double precision         | YES
 forecast_121_monthly_baseline |               10 | ListPrice               | double precision         | YES
 forecast_121_monthly_baseline |               11 | ForecastQty             | double precision         | YES
 forecast_121_monthly_baseline |               12 | Method                  | text                     | YES
 forecast_121_weekly           |                1 | ProductID               | text                     | YES
 forecast_121_weekly           |                2 | ChannelID               | text                     | YES
 forecast_121_weekly           |                3 | LocationID              | text                     | YES
 forecast_121_weekly           |                4 | StartDate               | date                     | YES
 forecast_121_weekly           |                5 | EndDate                 | date                     | YES
 forecast_121_weekly           |                6 | Period                  | text                     | YES
 forecast_121_weekly           |                7 | Qty                     | text                     | YES
 forecast_121_weekly           |                8 | UOM                     | text                     | YES
 forecast_121_weekly           |                9 | NetPrice                | double precision         | YES
 forecast_121_weekly           |               10 | ListPrice               | double precision         | YES
 forecast_121_weekly           |               11 | ForecastQty             | double precision         | YES
 forecast_121_weekly           |               12 | Method                  | text                     | YES
 forecast_121_weekly_baseline  |                1 | ProductID               | text                     | YES
 forecast_121_weekly_baseline  |                2 | ChannelID               | text                     | YES
 forecast_121_weekly_baseline  |                3 | LocationID              | text                     | YES
 forecast_121_weekly_baseline  |                4 | StartDate               | date                     | YES
 forecast_121_weekly_baseline  |                5 | EndDate                 | date                     | YES
 forecast_121_weekly_baseline  |                6 | Period                  | text                     | YES
 forecast_121_weekly_baseline  |                7 | Qty                     | text                     | YES
 forecast_121_weekly_baseline  |                8 | UOM                     | text                     | YES
 forecast_121_weekly_baseline  |                9 | NetPrice                | double precision         | YES
 forecast_121_weekly_baseline  |               10 | ListPrice               | double precision         | YES
 forecast_121_weekly_baseline  |               11 | ForecastQty             | double precision         | YES
 forecast_121_weekly_baseline  |               12 | Method                  | text                     | YES
 forecast_221_daily            |                1 | ProductID               | text                     | YES
 forecast_221_daily            |                2 | ChannelID               | text                     | YES
 forecast_221_daily            |                3 | LocationID              | text                     | YES
 forecast_221_daily            |                4 | StartDate               | date                     | YES
 forecast_221_daily            |                5 | EndDate                 | date                     | YES
 forecast_221_daily            |                6 | Period                  | text                     | YES
 forecast_221_daily            |                7 | Qty                     | text                     | YES
 forecast_221_daily            |                8 | UOM                     | text                     | YES
 forecast_221_daily            |                9 | NetPrice                | double precision         | YES
 forecast_221_daily            |               10 | ListPrice               | double precision         | YES
 forecast_221_daily            |               11 | ForecastQty             | double precision         | YES
 forecast_221_daily            |               12 | Method                  | text                     | YES
 forecast_221_daily_baseline   |                1 | ProductID               | text                     | YES
 forecast_221_daily_baseline   |                2 | ChannelID               | text                     | YES
 forecast_221_daily_baseline   |                3 | LocationID              | text                     | YES
 forecast_221_daily_baseline   |                4 | StartDate               | date                     | YES
 forecast_221_daily_baseline   |                5 | EndDate                 | date                     | YES
 forecast_221_daily_baseline   |                6 | Period                  | text                     | YES
 forecast_221_daily_baseline   |                7 | Qty                     | text                     | YES
 forecast_221_daily_baseline   |                8 | UOM                     | text                     | YES
 forecast_221_daily_baseline   |                9 | NetPrice                | double precision         | YES
 forecast_221_daily_baseline   |               10 | ListPrice               | double precision         | YES
 forecast_221_daily_baseline   |               11 | ForecastQty             | double precision         | YES
 forecast_221_daily_baseline   |               12 | Method                  | text                     | YES
 forecast_221_monthly          |                1 | ProductID               | text                     | YES
 forecast_221_monthly          |                2 | ChannelID               | text                     | YES
 forecast_221_monthly          |                3 | LocationID              | text                     | YES
 forecast_221_monthly          |                4 | StartDate               | date                     | YES
 forecast_221_monthly          |                5 | EndDate                 | date                     | YES
 forecast_221_monthly          |                6 | Period                  | text                     | YES
 forecast_221_monthly          |                7 | Qty                     | text                     | YES
 forecast_221_monthly          |                8 | UOM                     | text                     | YES
 forecast_221_monthly          |                9 | NetPrice                | double precision         | YES
 forecast_221_monthly          |               10 | ListPrice               | double precision         | YES
 forecast_221_monthly          |               11 | ForecastQty             | double precision         | YES
 forecast_221_monthly          |               12 | Method                  | text                     | YES
 forecast_221_monthly_baseline |                1 | ProductID               | text                     | YES
 forecast_221_monthly_baseline |                2 | ChannelID               | text                     | YES
 forecast_221_monthly_baseline |                3 | LocationID              | text                     | YES
 forecast_221_monthly_baseline |                4 | StartDate               | date                     | YES
 forecast_221_monthly_baseline |                5 | EndDate                 | date                     | YES
 forecast_221_monthly_baseline |                6 | Period                  | text                     | YES
 forecast_221_monthly_baseline |                7 | Qty                     | text                     | YES
 forecast_221_monthly_baseline |                8 | UOM                     | text                     | YES
 forecast_221_monthly_baseline |                9 | NetPrice                | double precision         | YES
 forecast_221_monthly_baseline |               10 | ListPrice               | double precision         | YES
 forecast_221_monthly_baseline |               11 | ForecastQty             | double precision         | YES
 forecast_221_monthly_baseline |               12 | Method                  | text                     | YES
 forecast_221_weekly           |                1 | ProductID               | text                     | YES
 forecast_221_weekly           |                2 | ChannelID               | text                     | YES
 forecast_221_weekly           |                3 | LocationID              | text                     | YES
 forecast_221_weekly           |                4 | StartDate               | date                     | YES
 forecast_221_weekly           |                5 | EndDate                 | date                     | YES
 forecast_221_weekly           |                6 | Period                  | text                     | YES
 forecast_221_weekly           |                7 | Qty                     | text                     | YES
 forecast_221_weekly           |                8 | UOM                     | text                     | YES
 forecast_221_weekly           |                9 | NetPrice                | double precision         | YES
 forecast_221_weekly           |               10 | ListPrice               | double precision         | YES
 forecast_221_weekly           |               11 | ForecastQty             | double precision         | YES
 forecast_221_weekly           |               12 | Method                  | text                     | YES
 forecast_221_weekly_baseline  |                1 | ProductID               | text                     | YES
 forecast_221_weekly_baseline  |                2 | ChannelID               | text                     | YES
 forecast_221_weekly_baseline  |                3 | LocationID              | text                     | YES
 forecast_221_weekly_baseline  |                4 | StartDate               | date                     | YES
 forecast_221_weekly_baseline  |                5 | EndDate                 | date                     | YES
 forecast_221_weekly_baseline  |                6 | Period                  | text                     | YES
 forecast_221_weekly_baseline  |                7 | Qty                     | text                     | YES
 forecast_221_weekly_baseline  |                8 | UOM                     | text                     | YES
 forecast_221_weekly_baseline  |                9 | NetPrice                | double precision         | YES
 forecast_221_weekly_baseline  |               10 | ListPrice               | double precision         | YES
 forecast_221_weekly_baseline  |               11 | ForecastQty             | double precision         | YES
 forecast_221_weekly_baseline  |               12 | Method                  | text                     | YES
 forecastelement               |                1 | ProductID               | text                     | YES
 forecastelement               |                2 | ChannelID               | text                     | YES
 forecastelement               |                3 | LocationID              | text                     | YES
 forecastelement               |                4 | Level                   | integer                  | YES
 forecastelement               |                5 | IsActive                | boolean                  | YES
 history_111_daily             |                1 | ProductID               | text                     | YES
 history_111_daily             |                2 | ChannelID               | text                     | YES
 history_111_daily             |                3 | LocationID              | text                     | YES
 history_111_daily             |                4 | Qty                     | double precision         | YES
 history_111_daily             |                5 | Period                  | text                     | YES
 history_111_daily             |                6 | StartDate               | date                     | YES
 history_111_daily             |                7 | EndDate                 | text                     | YES
 history_111_daily             |                8 | UOM                     | text                     | YES
 history_111_daily             |                9 | NetPrice                | double precision         | YES
 history_111_daily             |               10 | ListPrice               | double precision         | YES
 history_111_monthly           |                1 | ProductID               | text                     | YES
 history_111_monthly           |                2 | ChannelID               | text                     | YES
 history_111_monthly           |                3 | LocationID              | text                     | YES
 history_111_monthly           |                4 | Qty                     | double precision         | YES
 history_111_monthly           |                5 | Period                  | text                     | YES
 history_111_monthly           |                6 | StartDate               | date                     | YES
 history_111_monthly           |                7 | EndDate                 | date                     | YES
 history_111_monthly           |                8 | UOM                     | text                     | YES
 history_111_monthly           |                9 | NetPrice                | double precision         | YES
 history_111_monthly           |               10 | ListPrice               | double precision         | YES
 history_111_weekly            |                1 | ProductID               | text                     | YES
 history_111_weekly            |                2 | ChannelID               | text                     | YES
 history_111_weekly            |                3 | LocationID              | text                     | YES
 history_111_weekly            |                4 | Qty                     | double precision         | YES
 history_111_weekly            |                5 | Period                  | text                     | YES
 history_111_weekly            |                6 | StartDate               | date                     | YES
 history_111_weekly            |                7 | EndDate                 | date                     | YES
 history_111_weekly            |                8 | UOM                     | text                     | YES
 history_111_weekly            |                9 | NetPrice                | double precision         | YES
 history_111_weekly            |               10 | ListPrice               | double precision         | YES
 history_121_daily             |                1 | ProductID               | text                     | YES
 history_121_daily             |                2 | ChannelID               | text                     | YES
 history_121_daily             |                3 | LocationID              | text                     | YES
 history_121_daily             |                4 | Qty                     | double precision         | YES
