LocationID,Date,TavgC,TminC,TmaxC,PrecipMM,WindMaxMS,SunHours,Provider,Model,ForecastRun
NL-NH,2026-09-17,15.2,12.5,18.8,0.0,3.11,11.675938888888888,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-18,15.5,13.8,18.2,0.6,4.4,11.954055555555556,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-19,14.9,11.7,19.2,0.0,3.54,11.532836111111111,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-20,15.7,13.6,18.6,0.6,2.48,5.200955555555555,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-21,13.3,11.5,16.3,2.7,4.57,11.494908333333333,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-22,11.6,9.8,14.7,2.7,5.22,11.52859722222222,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-23,11.2,8.3,14.5,0.6,4.48,11.45801111111111,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NH,2026-09-24,,,,,,,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-09,16.7,15.4,18.3,2.2,7.2,3.3149083333333333,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-10,16.6,14.2,18.6,0.0,3.8,3.368991666666667,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-11,16.6,15.0,18.8,1.7,5.7,0.30319999999999997,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-12,16.8,13.0,20.9,0.0,4.05,12.138708333333334,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-13,17.6,15.4,19.6,4.2,5.71,0.012808333333333333,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-14,18.2,15.5,21.6,0.0,3.04,11.415397222222222,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-15,17.6,16.1,20.3,1.8,4.82,11.057902777777777,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-16,15.8,14.6,17.6,0.6,4.43,11.632022222222222,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-17,15.8,12.5,19.3,0.0,2.85,12.114597222222223,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-18,16.2,14.5,18.8,1.2,4.09,11.883002777777778,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-19,15.7,12.5,19.7,0.0,3.83,11.832366666666665,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-20,15.8,14.3,18.3,0.6,2.39,5.253269444444444,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-21,14.0,12.0,16.7,1.8,4.13,11.277697222222223,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-22,12.2,10.7,14.9,3.0,4.66,11.428519444444444,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-23,11.8,9.3,14.9,0.6,4.42,11.550875,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-ZH,2026-09-24,,,,,,,Open-Meteo,best_match,2026-09-09 15:20:40.660068
